YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1996,NV,"Combined Heat and Power, Electric Power",Other,"25,154",,,,,,
1997,NV,Total Electric Power Industry,Total,"27,031,522",,,,,,
1997,NV,Total Electric Power Industry,Coal,"15,250,606",,,,,,
1997,NV,Total Electric Power Industry,Geothermal,"1,596,001",,,,,,
1997,NV,Total Electric Power Industry,Hydroelectric Conventional,"2,586,974",,,,,,
1997,NV,Total Electric Power Industry,Natural Gas,"7,557,814",,,,,,
1997,NV,Total Electric Power Industry,Other,"8,182",,,,,,
1997,NV,Total Electric Power Industry,Petroleum,"31,945",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Total,"1,830,940",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,596,001",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"19,523",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Natural Gas,"214,627",,,,,,
1997,NV,"Electric Generators, Independent Power Producers",Petroleum,789,,,,,,
1997,NV,"Electric Generators, Electric Utilities",Total,"22,869,773",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Coal,"15,250,606",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"2,567,451",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Natural Gas,"5,020,560",,,,,,
1997,NV,"Electric Generators, Electric Utilities",Petroleum,"31,156",,,,,,
1997,NV,"Combined Heat and Power, Industrial Power",Total,138,,,,,,
1997,NV,"Combined Heat and Power, Industrial Power",Natural Gas,138,,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Total,"2,330,671",,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,322,489",,,,,,
1997,NV,"Combined Heat and Power, Electric Power",Other,"8,182",,,,,,
1998,NV,Total Electric Power Industry,Total,"30,613,520",,,,,,
1998,NV,Total Electric Power Industry,Coal,"17,161,341",,,,,,
1998,NV,Total Electric Power Industry,Geothermal,"1,537,094",,,,,,
1998,NV,Total Electric Power Industry,Hydroelectric Conventional,"3,166,325",,,,,,
1998,NV,Total Electric Power Industry,Natural Gas,"8,690,829",,,,,,
1998,NV,Total Electric Power Industry,Other,"6,399",,,,,,
1998,NV,Total Electric Power Industry,Petroleum,"51,532",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Total,"1,749,040",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Geothermal,"1,537,094",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"14,910",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Natural Gas,"195,789",,,,,,
1998,NV,"Electric Generators, Independent Power Producers",Petroleum,"1,247",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Total,"26,552,567",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Coal,"17,161,341",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,151,415",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Natural Gas,"6,189,526",,,,,,
1998,NV,"Electric Generators, Electric Utilities",Petroleum,"50,285",,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Total,"2,311,913",,,,,,
1998,NV,"Combined Heat and Power, Electric Power",Natural Gas,"2,305,514",,,,,,
