Event,minutes,AvgGlobalHoriz
Autumn Equinox,725,923.5719999999999
Autumn Equinox,760,812.882
Autumn Equinox,505,558.434
Autumn Equinox,850,635.4019999999999
Autumn Equinox,380,115.2576
Autumn Equinox,995,65.1854
Autumn Equinox,695,816.5
Autumn Equinox,800,688.338
Autumn Equinox,700,855.722
Autumn Equinox,550,661.236
Autumn Equinox,1030,40.59586
Autumn Equinox,565,681.1560000000001
Autumn Equinox,470,446.16
Autumn Equinox,935,347.53000000000003
Autumn Equinox,535,598.292
Autumn Equinox,840,653.27
Autumn Equinox,895,465.83600000000007
Autumn Equinox,955,152.97999999999996
Autumn Equinox,430,276.204
Autumn Equinox,515,580.754
Autumn Equinox,690,864.4560000000001
Autumn Equinox,925,382.332
Autumn Equinox,705,807.8459999999999
Autumn Equinox,1005,52.882600000000004
Autumn Equinox,790,738.6220000000001
Autumn Equinox,605,780.746
Autumn Equinox,375,101.5318
Autumn Equinox,945,302.004
Autumn Equinox,625,766.95
Autumn Equinox,360,58.00999999999999
Autumn Equinox,500,537.7679999999999
Autumn Equinox,490,527.7819999999999
Autumn Equinox,545,661.142
Autumn Equinox,485,500.22800000000007
Autumn Equinox,595,660.46
Autumn Equinox,510,560.8520000000001
Autumn Equinox,445,365.908
Autumn Equinox,720,830.308
Autumn Equinox,440,341.352
Autumn Equinox,525,585.418
Autumn Equinox,635,768.882
Autumn Equinox,455,376.628
Autumn Equinox,940,325.498
Autumn Equinox,970,110.6174
Autumn Equinox,390,148.33800000000002
Autumn Equinox,905,425.044
Autumn Equinox,965,110.40919999999998
Autumn Equinox,420,239.404
Autumn Equinox,580,724.204
Autumn Equinox,1025,53.4956
Autumn Equinox,770,836.6900000000002
Autumn Equinox,355,45.31759999999999
Autumn Equinox,880,492.154
Autumn Equinox,585,732.0559999999999
Autumn Equinox,975,101.6926
Autumn Equinox,805,741.57
Autumn Equinox,630,882.406
Autumn Equinox,410,223.38400000000001
Autumn Equinox,930,367.25
Autumn Equinox,370,87.2784
Autumn Equinox,660,828.74
Autumn Equinox,875,579.118
Autumn Equinox,415,226.862
Autumn Equinox,890,484.12399999999997
Autumn Equinox,870,603.248
Autumn Equinox,915,403.586
Autumn Equinox,670,818.558
Autumn Equinox,675,843.762
Autumn Equinox,405,205.57599999999996
Autumn Equinox,475,427.3
Autumn Equinox,740,857.768
Autumn Equinox,825,706.3199999999999
Autumn Equinox,1000,59.038199999999996
Autumn Equinox,1020,20.9428
Autumn Equinox,645,847.092
Autumn Equinox,810,698.744
Autumn Equinox,570,715.784
Autumn Equinox,620,782.4820000000001
Autumn Equinox,715,802.5379999999999
Autumn Equinox,365,73.24879999999999
Autumn Equinox,910,414.092
Autumn Equinox,835,652.9300000000001
Autumn Equinox,560,679.906
Autumn Equinox,985,91.12840000000001
Autumn Equinox,330,0.49279
Autumn Equinox,495,565.53
Autumn Equinox,540,639.358
Autumn Equinox,335,5.844939999999999
Autumn Equinox,650,832.076
Autumn Equinox,655,839.184
Autumn Equinox,1010,46.7532
Autumn Equinox,860,616.144
Autumn Equinox,480,459.938
Autumn Equinox,795,702.05
