AvgGlobalHorizSummerSol,AvgGlobalHorizWinterSol,AvgGlobalHorizSpringEq,minutes,AvgGlobalHorizAutumnEq
837.222,310.7254,550.01,565,681.1560000000001
1009.684,388.1442,643.5840000000001,650,832.076
828.6119999999999,244.03979999999996,391.64459999999997,860,616.144
1007.9,393.5706,634.74,630,882.406
483.9700000000001,24.1596,169.7764,965,110.40919999999998
1019.2520000000001,408.6222,636.706,660,828.74
829.5039999999999,240.3696,390.07640000000004,865,633.2059999999999
474.72200000000004,2.62428,101.2414,980,88.8298
821.356,250.49699999999999,467.94660000000005,535,598.292
932.366,322.15959999999995,551.3,830,666.028
534.598,42.75226,202.8706,440,341.352
602.6120000000001,114.878,282.7118,925,382.332
939.024,410.8048,630.644,670,818.558
403.47999999999996,9.172127999999999,152.49259999999998,420,239.404
976.39,415.03200000000004,701.364,775,814.4
939.158,347.1366,570.03,580,724.204
601.0580000000001,86.6548,256.8312,460,402.78
904.488,312.30620000000005,515.11,835,652.9300000000001
1015.0619999999999,432.4898,711.0799999999999,715,802.5379999999999
436.534,18.5413,161.8922,425,261.94
938.2860000000001,378.5548,614.384,605,780.746
553.562,52.688005999999994,226.62060000000002,445,365.908
690.482,154.58339999999998,339.39639999999997,490,527.7819999999999
586.3019999999999,96.6714,268.45619999999997,465,395.86800000000005
768.14,197.51179999999997,385.9172,510,560.8520000000001
